molecule,cas,best_match_url,results,query_url,query_type,Highest Development Event Status and Year,Highest Development Event Source ID,Highest Development Event Source URL,Earliest Approved Event Status and Year,Earliest Approved Event Source ID,Earliest Approved Event Source URL,conditions,phases
XYLANASE,9068-42-2,N/A,0,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""9068%2042%202"")",ONLY CAS,,,,,,,,
WOOL FAT,8006-54-0,https://drugs.ncats.io/drug/7EV65EAW6H,2,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""8006%2054%200"")%20AND%20(root_names_name:""%5EWOOL%20FAT$"")",EXACT NAME,US Approved OTC ,21 CFR 349.14(a)(2) ophthalmic:emollient lanolin  (in combination),https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec349-14.xml,US Previously Marketed 1921,Hydrous Wool Fat U.S.P.,https://www.gutenberg.org/files/41778/41778-h/41778-h.htm,,
RHAMNUS PURSHIANA,8015-89-2,https://drugs.ncats.io/drug/4VBP01X99F,7,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""8015%2089%202"")%20AND%20(root_names_name:""%5ERHAMNUS%20PURSHIANA$"")",EXACT NAME,US Previously Marketed ,21 CFR 310.545(a)(12)(iv)(C) laxative:stimulant laxative cascara sagrada bark,https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-545.xml,,,,,
PROPANTHELINE HYDROXIDE,298-50-0,https://drugs.ncats.io/drug/1306V2B0Q8,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""298%2050%200"")",ONLY CAS,US Previously Marketed 1982,PROPANTHELINE BROMIDE by HEATHER,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=085780,US Previously Marketed 1953,PRO-BANTHINE by SHIRE,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=008732,Overactive bladder; Urinary calculus; Peptic ulcer,Approved; Phase IV; Approved
PIPER METHYSTICUM,9000-38-8,N/A,0,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""9000%2038%208"")",ONLY CAS,,,,,,,,
OXALIPLATIN,61825-94-3,https://drugs.ncats.io/drug/04ZR38536J,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""61825%2094%203"")",ONLY CAS,US Approved Rx 2017,ANDA205529,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=205529,US Previously Marketed 2002,ELOXATIN by SANOFI AVENTIS US,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021492,Carcinoma of the colon or rectum; Colon cancer,Approved; Approved
HYPROMELLOSE,9004-65-3,https://drugs.ncats.io/drug/3NXW29V3WO,25,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""9004%2065%203"")%20AND%20(root_names_name:""%5EHYPROMELLOSE$"")",EXACT NAME,Possibly Marketed Outside US ,Canada:HYPROMELLOSE,https://tripod.nih.gov/npc/#Download,Possibly Marketed Outside US 1960,ANDA040424,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=48115c9e-c82f-438d-b178-dce1b73687db,,
HYPROLOSE,9004-64-2,https://drugs.ncats.io/drug/9XZ8H6N6OH,18,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""9004%2064%202"")%20AND%20(root_names_name:""%5EHYPROLOSE$"")",EXACT NAME,US Approved Rx 1981,NDA018771,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018771,Possibly Marketed Outside US 1975,NDA017579,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9556d73d-c573-4e0a-9feb-764ce2d1107b,,
EPTACOG ALFA (ACTIVATED),102786-61-8,https://drugs.ncats.io/drug/AC71R787OV,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""102786%2061%208"")",ONLY CAS,Possibly Marketed Outside US ,Niastase RT by Novo Nordisk [Canada],https://www.drugbank.ca/drugs/DB00036,Possibly Marketed Outside US 1999,BLA103665,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ea65c32f-8518-4383-b621-17056c0eebc0,,
COLESTYRAMINE,11041-12-6,https://drugs.ncats.io/drug/4B33BGI082,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""11041%2012%206"")",ONLY CAS,US Approved Rx 2020,ANDA209599,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=209599,US Previously Marketed 1964,Cuemid by Merck Sharp & Dohme,DeHaen 1940-1975 NMEs,,
CARBONYL IRON,7439-89-6,https://drugs.ncats.io/drug/5ba434dc,4,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""7439%2089%206"")%20AND%20(root_names_name:""%5ECARBONYL%20IRON$"")",EXACT NAME,,,,,,,,
CALASPARGASE PEGOL,941577-06-6,https://drugs.ncats.io/drug/T9FVH03HMZ,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""941577%2006%206"")",ONLY CAS,US Approved Rx 2018,BLA761102,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=761102,US Approved Rx 2018,BLA761102,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=761102,,
CACAO BUTTER,8002-31-1,https://drugs.ncats.io/drug/512OYT1CRR,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""8002%2031%201"")",ONLY CAS,US Approved OTC ,21 CFR 347.10(d) skin protectant cocoa butter,https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec347-10.xml,Possibly Marketed Outside US 1964,21 CFR 346,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=1c704359-89a4-449c-961c-ad527cb467c2,,
BROMELAINS,9001-00-7,https://drugs.ncats.io/drug/U182GP2CF3,3,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""9001%2000%207"")%20AND%20(root_names_name:""%5EBROMELAINS$"")",EXACT NAME,US Previously Marketed 1962,Ananase by Rorer,DeHaen 1940-1975 NMEs,US Previously Marketed 1962,Ananase by Rorer,DeHaen 1940-1975 NMEs,,
ACACIA SENEGAL,9000-01-5,https://drugs.ncats.io/drug/5C5403N26O,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""9000%2001%205"")",ONLY CAS,US Approved Allergenic Extract 1967,BLA101376,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c1114779-3e11-47ab-8889-f534406f4041,US Previously Marketed 1921,Acacia U.S.P.,https://www.gutenberg.org/files/41778/41778-h/41778-h.htm,,
