molecule,parsed_molecule,cas
XYLANASE,XYLANASE,"9068-42-2, 9025-57-4, 7554-16-7"
WOOL_FAT,WOOL FAT,8006-54-0
RHAMNUS_PURSHIANA,RHAMNUS PURSHIANA,8015-89-2
PROPANTHELINE_HYDROXIDE,PROPANTHELINE HYDROXIDE,298-50-0
PIPER_METHYSTICUM,PIPER METHYSTICUM,9000-38-8
OXALIPLATIN,OXALIPLATIN,61825-94-3
HYPROMELLOSE,HYPROMELLOSE,9004-65-3
HYPROLOSE,HYPROLOSE,9004-64-2
EPTACOG_ALFA_(ACTIVATED),EPTACOG ALFA (ACTIVATED),102786-61-8
COLESTYRAMINE,COLESTYRAMINE,11041-12-6
CARBONYL_IRON,CARBONYL IRON,7439-89-6
CALASPARGASE_PEGOL,CALASPARGASE PEGOL,941577-06-6
CACAO_BUTTER,CACAO BUTTER,8002-31-1
BROMELAINS,BROMELAINS,9001-00-7
ACACIA_SENEGAL,ACACIA SENEGAL,9000-01-5
